No artikel;Q1_Medium;Q2_Krant;Q3_Inspectie;Q4_Kop;Q5_Datum;Q6_Grootte;Q7_Toon;Q8_Person;Q9_Conflict;Q10_Sensatie;Q11_Internationaal;Q11_Rijk;Q11_Provincie;Q11_Gemeente;Q11_Waterschap;Q11_Toezichthouder;Q11_Politiek;Q11_Advocaat;Q11_Privaat;Q11_Burger;Q11_Onderzoeksinstituut;Q11_Media;Q11_BNer;Q11_Stichting;Q11_Belangenvereniging;Q11_Overig;Q12_Internationaal;Q12_Rijk;Q12_Provincie;Q12_Gemeente;Q12_Waterschap;Q12_Toezichthouder;Q12_Politiek;Q12_Advocaat;Q12_Privaat;Q12_Burger;Q12_Onderzoeksinstituut;Q12_Media;Q12_BNer;Q12_Stichting;Q12_Belangenvereniging;Q12_Overig;Q13_Blaam;Q14_Reactie;Q11_Overig_Antwoord;Notitie?
149;1;0;8;Criminelen jagen op persoonsgegevens;01.03.2021;434;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
54;1;0;2;Eisen voor Woerdense handgel niet verruimd;01.04.2020;185;2;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
7;2;4;8;Booking laks met melding datalek: 475.000 euro boete;01.04.2021;337;2;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
54;2;7;8;Booking.com krijgt boete van 475.000 euro voor te late melding datalek;01.04.2021;322;2;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
19;2;7;3;KPN schudt toezichthouder af met forse verlaging voor huur van eht netwerk;01.04.2022;668;3;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
164;1;0;8;Geheime documenten openbaar toegankelijk;01.04.2022;251;2;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
121;1;0;2;Houd vol, want de vliegmaatschapijen wimpelen je altijd eerst af;01.05.2017;204;2;1;1;2;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
272;1;0;8;Digitale identitieit staat niet helder op netvlies ondernemer;01.05.2019;939;2;1;1;1;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
221;2;2;1;Vals volkoren;01.05.2020;922;1;1;2;2;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;
326;2;3;8;Het is niet nodig om je privacy op te geven;01.05.2021;2281;1;1;1;1;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;CIZ;
254;1;0;5;Giftige stof in grond leidt tot zorgen over gezondheid;01.06.2010;347;2;1;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;GGD;
54;1;0;3;Fabrikanten weren slijtvaste autobanden;01.06.2018;242;1;1;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
256;1;0;3;In Duitsland ook tegenwerking bij verkoop sealants;01.06.2018;243;2;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
77;1;0;4;Zoutwinning ook onveilig;01.06.2018;334;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
94;1;0;5;Esso onder loep van politie;01.06.2019;504;1;1;2;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
380;2;2;5;Milieu raffinaderij Esso moet langer onder verscherpt toezicht staan, beslist de provincie;01.06.2019;164;2;1;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
83;2;3;8;Gemeente volgt burger via telefoon;01.06.2019;601;2;1;2;1;0;1;0;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;
137;1;0;4;Gas wordt weer fors duurder;01.06.2022;368;1;1;2;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
286;1;0;4;Geen fiat voor injectie afvalwater;01.06.2022;529;2;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
266;1;0;2;Buitenlander steelt;01.07.2013;305;2;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Politie;
187;2;8;3;Geen grote gevolgen voor concurrentie in dagbladsector;01.07.2014;639;2;1;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Commissariaat voor de Media;
68;1;0;4;Kans op sinkholes door zoutwinning Nederland;01.07.2018;232;2;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
306;1;0;8;Pakket aan maatregelen tegen witwassen;01.07.2019;869;2;1;1;1;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Criminelen, politie, FIU, Fiod;
35;1;0;1;Aangifte tegen puppyhandelaar;01.07.2020;512;1;1;2;2;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;;
37;1;0;2;Milieuwetten lek als mandje Rekenkamer: 4,35 miljard schade door overtreding regels;01.07.2021;471;1;1;2;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;;
227;2;2;2;Falend toezicht op chemiebedrijven;01.07.2021;737;1;1;1;1;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;politie;
146;1;0;3;Rekening van energie stijgt fors;01.07.2021;374;2;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
45;2;2;8;Rotterdam Raad aanvaardt uitleg Aboutaleb over rapport;01.07.2022;753;2;1;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
146;1;0;4;Minder boren had geen zin, geloofde de NAM ;01.07.2022;220;2;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
30;1;0;5;Raad terug van reces;01.08.2012;437;1;1;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;;
180;2;2;5;Odfjell kan exemplarisch zijn;01.08.2012;1075;1;1;2;2;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;Veiligheidsregio;
244;1;0;5;Crisis bij Odfjell naar hoogtepunt;01.08.2012;593;1;1;1;2;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Brandweer;
362;1;0;5;Zorgen om situatie bij Odfjell;01.08.2012;195;1;1;2;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Veiligheidsregio;
251;1;0;5;VSP: Odfjell moet nu zeker dicht;01.08.2013;406;1;1;2;2;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
259;1;0;3;NPO scherpt cookiebeleid aan na druk van ACM;01.08.2014;326;2;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
72;1;0;1;Gifeieren uit de schappen;01.08.2017;314;2;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
250;2;2;1;Waarschuwing Eieren geinfecteerd met schadelijke en verboden stof;01.08.2017;131;2;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
227;2;5;1;Sjoemelsigaret moet van de markt;01.08.2018;408;1;1;2;2;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;Nederlandse normcomissie;
68;1;0;3;Slapende waakhond;01.08.2018;362;1;1;2;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;;
293;1;0;3;Garantie tot aan de deur?;01.09.2015;690;2;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
84;1;0;5;Bonte komt opnieuw naar Hoek van Holland om te praten over stofoverlast;01.09.2020;307;2;1;1;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;TNO;
335;1;0;5;Loodgehalte onderzocht in bodem van volkstuinen;01.09.2020;185;2;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
111;1;0;3;ACM: Nederland is (zo goed als) plofkipvrij;01.09.2020;907;2;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;;
198;1;0;3;Wakker Dier: Kiloknallers zijn er nog steeds;01.09.2020;357;1;1;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
262;2;1;8;Corona-app start pas als de spoedwet er is;01.09.2020;619;2;1;1;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;GGD;
290;1;0;1;Opluchting zorgen bij slachter;01.09.2021;719;2;2;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
145;2;2;4;Vermindering gaswinning kon eerder, maar 'gasbaten' waren belangrijker;01.09.2022;373;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
173;2;7;4;Ex-topambtenaar: belang van de schatkist verhinderde lagere gaswinning;01.09.2022;684;2;1;1;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
175;2;2;4;Oud-minister Verhagen zegt cruciaal advies neit te hebben gezien: onbegrijpelijk;01.09.2022;445;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
344;1;0;5;Minder toezicht in stad;01.10.2011;475;2;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Politie;
351;1;0;4;Het verdriet van Groningen;01.10.2013;1611;1;2;1;1;0;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
211;1;0;1;Nog vieze boel bij  visbedrijf;01.10.2014;102;1;1;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
353;1;0;1;Nog vieze boel bij visbedrijf;01.10.2014;102;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
119;1;0;3;Huurder: geld voor bemiddelen voor huis terug;01.10.2014;441;2;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Meldpunt Ongewenst Verhuurgedrag;
323;1;0;3;Melkfabrikant zit webshop dwars;01.10.2016;901;1;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
79;1;0;3;Campagne tegen kartelvorming;01.10.2019;390;2;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
66;2;3;8;Nederland aarzelt met analyses Abu Dhabi, Spanje gebruik ze al;01.10.2020;498;2;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
362;1;0;8;Wat nu als je jokt dat je nog maar 12 bent?;01.10.2021;207;2;1;1;1;0;1;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
130;1;0;1;Minder dieren op de paardenmarkten, maar wel een betere handel;01.11.2014;306;2;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
257;1;0;3;Via netwerk KPN Waakhond geeft telecomaanbieders de ruimte;01.11.2014;310;2;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
300;2;7;3;"ACM heeft haar werk niet goed gedaan, vindt KPN; Autoriteit Consument en Markt wil dat KPN concurrent toelaat";01.11.2014;614;1;1;2;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;;
281;1;0;5;Rotterdam laat acht windmolens staan;01.11.2016;252;1;1;2;2;0;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
401;1;0;8;Gegevens bijstand in verkeerde mailbox;01.11.2017;236;1;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
156;1;0;4;Opruimen boorput bij Hezingen leidt tot 'aardbeving';01.11.2022;266;2;1;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
380;2;7;2;Inspectie int boete bij taxidienst Uber;01.12.2016;114;2;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
28;2;5;2;FNV: Schiphol lag dwars bij onderzoek naar veiligheid;01.12.2021;856;1;1;2;2;0;1;0;0;0;1;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;;
235;1;0;2;Onrust over gebruik vervuild slib;01.12.2021;561;1;1;1;1;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Natuurmonumenten;
264;1;0;8;Veghels gezin ontvangt pakket vol met privacygevoelige gegevens;01.12.2021;255;1;1;1;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
261;2;2;2;Leefomgeving is in gevaar zonder rijkstoezicht;01.12.2022;1665;1;1;2;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
394;1;0;5;Lucht tijdens jaarwisseling snel schoon dankzij wind en regen;02.01.2013;175;2;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
328;1;0;5;Fijnstof piekt door afsteken vuurwerk;02.01.2020;121;2;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
72;2;2;8;Hellevoetsluis zoekt al vijf maanden naar gelekte gegevens;02.01.2020;1618;1;2;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
354;2;1;1;Ernstig verwaarloosde runderen weggehaald;02.02.2011;113;2;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
337;1;0;2;Mansveld lijdt onder gekibbel op ministerie;02.02.2013;429;1;1;2;1;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
392;2;2;4;Een injectie met vier miljoen liter ongenoegen;02.02.2015;1469;1;2;2;2;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;;
83;1;0;3;Klachten over actie Mediamarkt;02.02.2016;325;1;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
239;1;0;3;ACM speurt naar kartels in havens;02.02.2017;227;2;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
225;1;0;2;Minister let strenger op oude vloot;02.02.2018;289;2;1;1;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
159;1;0;5;Controlekamer speelt met vuur;02.02.2018;689;1;3;1;2;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Brandweer;
199;1;0;4;Een bizar laat besluit over gas;02.02.2018;306;1;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
230;1;0;4;Groningen nog lang niet van de gaswinning af;02.02.2018;1018;2;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
234;1;0;4;Wiebes moet hopen op zachte wainters;02.02.2018;643;2;1;1;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
3;1;0;4;Verscherpt toezicht op boringen;02.03.2011;281;2;1;1;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
326;2;8;2;Ook inspectie visserij onder vuur;02.03.2012;368;1;1;2;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;1;;
192;1;0;1;"Illegale handel in puppy;s";02.03.2013;344;1;1;2;2;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;
224;1;0;1;Bioboer uit Zeeland op vrije voeten;02.03.2013;188;2;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Politie;
309;2;2;4;Die zwaardere beving zal er komen;02.03.2013;2310;2;1;1;1;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
399;1;0;4;NAM draait ook op voor smartengeld;02.03.2017;498;3;1;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
400;2;4;4;NAM draait op voor geestelijk leed;02.03.2017;560;3;1;1;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
32;2;1;1;'Beelden van nertsen genegeerd';02.03.2018;377;1;1;2;2;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;Politie;
204;1;0;2;Piloten moeten gehoorzamen, minder vluchten;02.03.2019;267;2;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
134;1;0;8;Weggestuurde arts dreigt met kort geding;02.03.2019;241;1;1;2;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Curator;
17;2;3;8;Gestolen gegevens tienduizenden studenten InHolland te koop aangeboden op internetforum;02.03.2021;556;1;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
38;2;8;1;NVWA strenger voor sjoemelend bedrijf;02.04.2015;271;2;1;1;2;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
418;1;0;4;Wat als ik de gasputten bij Loppersum sluit?;02.04.2015;756;1;1;2;2;0;1;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;;
420;1;0;2;Onderzoek naar aanvaring cruiseship;02.04.2019;230;2;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
63;2;7;3;ACM wil orde scheppen in wirwar van voucherregelingen;02.04.2020;312;2;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
196;2;6;5;Vuil oorzaak vliegenplaag;02.05.2012;141;2;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
25;1;0;4;Risico op doorbraak dijk langs Eemskanaal';02.05.2014;220;2;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Veilgiheidsregio;
225;1;0;3;Waakhond ACM nu zelf door Brussel op de vingers getikt;02.05.2015;239;2;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
335;1;0;8;Verdwenen USB-stick brengt GGD in verlegenheid;02.05.2016;614;1;1;2;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;GGD. Bureau Jeugdzorg;
